feature,importance
sales_weekly_growth,3016
sales_monthly_growth,2206
sales_roll_mean_7,1630
sales_roll_min_7,1618
sales_ema_0.5,1589
sales_lag_364,1568
day_of_week,1518
sales_roll_std_7,1233
sales_roll_max_7,1192
sales_lag_14,1143
sales_roll_median_7,994
sales_lag_2,989
sales_lag_28,982
sales_lag_21,971
sales_roll_mean_60,938
sales_lag_3,832
sales_roll_median_60,680
sales_expanding_mean,540
sales_ema_0.7,464
day_of_week_sin,450
day,415
sales_roll_median_14,324
sales_lag_1,324
day_of_year,308
sales_roll_mean_14,278
day_of_week_cos,255
sales_ema_0.95,241
month_cos,220
sales_ema_0.8,216
sales_roll_median_90,197
day_of_year_sin,190
day_of_year_cos,189
sales_ema_0.9,178
sales_roll_mean_90,168
sales_roll_mean_28,156
sales_expanding_std,151
weekend,129
sales_roll_median_28,127
store_item_avg_sales,125
sales_roll_std_60,118
sales_roll_min_60,107
sales_roll_min_14,95
year,76
month,65
sales_roll_std_90,64
days_to_holiday,49
sales_roll_max_14,46
month_sin,45
week,43
days_from_holiday,42
sales_roll_min_28,40
sales_roll_min_90,40
week_sin,39
sales_lag_90,38
sales_roll_std_28,38
week_cos,35
sales_roll_max_60,32
sales_lag_60,31
sales_roll_max_90,29
item_avg_sales,28
sales_roll_std_14,26
sales_lag_180,20
store_sales_trend,19
sales_roll_max_28,18
item_sales_popularity,15
month_end,14
quarter,13
quarter_end,12
quarter_start,9
store_avg_sales,6
month_start,3
festival_week,1
is_holiday,0
long_weekend,0
